CoM_Separation_Distance(nm) Free_Energy(kcal/mol)
3.921199999999999797e+00 1.217316499999999913e+01
3.942800000000000082e+00 1.220996000000000059e+01
3.964399999999999924e+00 1.265827099999999916e+01
3.986000000000000210e+00 1.210994900000000030e+01
4.007600000000000051e+00 1.255661199999999944e+01
4.029200000000000337e+00 1.225720899999999958e+01
4.050799999999999734e+00 1.214038000000000039e+01
4.072400000000000020e+00 1.241342599999999941e+01
4.094000000000000306e+00 1.268564199999999964e+01
4.115599999999999703e+00 1.247462299999999935e+01
4.137199999999999989e+00 1.220009499999999925e+01
4.158800000000000274e+00 1.244078900000000054e+01
4.180399999999999672e+00 1.197669899999999998e+01
4.201999999999999957e+00 1.212706499999999998e+01
4.223600000000000243e+00 1.230914699999999939e+01
4.245199999999999640e+00 1.217824300000000015e+01
4.266799999999999926e+00 1.225018799999999963e+01
4.288400000000000212e+00 1.210254199999999969e+01
4.309999999999999609e+00 1.270866299999999960e+01
4.331599999999999895e+00 1.227051400000000037e+01
4.353200000000000180e+00 1.216795499999999919e+01
4.374799999999999578e+00 1.194686800000000027e+01
4.396399999999999864e+00 1.243023600000000073e+01
4.418000000000000149e+00 1.198455900000000085e+01
4.439600000000000435e+00 1.224333500000000008e+01
4.461199999999999832e+00 1.212731699999999968e+01
4.482800000000000118e+00 1.211416700000000013e+01
4.504400000000000404e+00 1.202547099999999958e+01
4.525999999999999801e+00 1.230512799999999984e+01
4.547600000000000087e+00 1.196466799999999964e+01
4.569200000000000372e+00 1.222867899999999963e+01
4.590799999999999770e+00 1.218074999999999974e+01
4.612400000000000055e+00 1.252440499999999979e+01
4.634000000000000341e+00 1.223042300000000004e+01
4.655599999999999739e+00 1.213100200000000051e+01
4.677200000000000024e+00 1.211489699999999914e+01
4.698800000000000310e+00 1.207643500000000003e+01
4.720399999999999707e+00 1.212867699999999971e+01
4.741999999999999993e+00 1.218387700000000073e+01
4.763600000000000279e+00 1.216329499999999975e+01
4.785199999999999676e+00 1.216716899999999946e+01
4.806799999999999962e+00 1.205760300000000029e+01
4.828400000000000247e+00 1.188350600000000057e+01
4.849999999999999645e+00 1.225303800000000010e+01
4.871599999999999930e+00 1.194957400000000014e+01
4.893200000000000216e+00 1.217356400000000072e+01
4.914799999999999613e+00 1.191474299999999964e+01
4.936399999999999899e+00 1.205747900000000072e+01
4.958000000000000185e+00 1.211938100000000063e+01
4.979599999999999582e+00 1.216306800000000088e+01
5.001199999999999868e+00 1.218358699999999928e+01
5.022800000000000153e+00 1.220435999999999943e+01
5.044400000000000439e+00 1.199380799999999958e+01
5.065999999999999837e+00 1.204694100000000034e+01
5.087600000000000122e+00 1.203865300000000005e+01
5.109200000000000408e+00 1.207357499999999995e+01
5.130799999999999805e+00 1.192171199999999942e+01
5.152400000000000091e+00 1.215200100000000027e+01
5.174000000000000377e+00 1.204083499999999951e+01
5.195599999999999774e+00 1.200571799999999989e+01
5.217200000000000060e+00 1.199217400000000033e+01
5.238800000000000345e+00 1.215627699999999933e+01
5.260399999999999743e+00 1.191994200000000070e+01
5.282000000000000028e+00 1.218747300000000067e+01
5.303600000000000314e+00 1.184702799999999989e+01
5.325199999999999712e+00 1.198133600000000065e+01
5.346799999999999997e+00 1.210148599999999952e+01
5.368400000000000283e+00 1.194280999999999970e+01
5.389999999999999680e+00 1.203068200000000054e+01
5.411599999999999966e+00 1.192607100000000031e+01
5.433200000000000252e+00 1.178669900000000048e+01
5.454799999999999649e+00 1.199413400000000074e+01
5.476399999999999935e+00 1.193949800000000039e+01
5.498000000000000220e+00 1.191449000000000069e+01
5.519599999999999618e+00 1.173252199999999945e+01
5.541199999999999903e+00 1.192449300000000001e+01
5.562800000000000189e+00 1.193082799999999999e+01
5.584399999999999586e+00 1.167285099999999964e+01
5.605999999999999872e+00 1.203241399999999928e+01
5.627600000000000158e+00 1.204969700000000010e+01
5.649200000000000443e+00 1.207023799999999980e+01
5.670799999999999841e+00 1.193875000000000064e+01
5.692400000000000126e+00 1.200512600000000063e+01
5.714000000000000412e+00 1.182777300000000054e+01
5.735599999999999810e+00 1.183707599999999971e+01
5.757200000000000095e+00 1.184901699999999991e+01
5.778800000000000381e+00 1.167970700000000051e+01
5.800399999999999778e+00 1.182675200000000082e+01
5.822000000000000064e+00 1.190777500000000089e+01
5.843600000000000350e+00 1.193859499999999940e+01
5.865199999999999747e+00 1.152451100000000039e+01
5.886800000000000033e+00 1.172467800000000082e+01
