Z,Concentration
-54.2,1.8417003127978382
-54.1,1.7931813144365336
-54.0,1.9427815593838884
-53.900000000000006,1.772965065119324
-53.800000000000004,1.90639231061291
-53.7,2.031733056379613
-53.6,1.8538300623881643
-53.5,1.8801111865005375
-53.400000000000006,1.9266085599301206
-53.300000000000004,2.001408682403798
-53.2,1.9306518097935625
-53.1,2.001408682403798
-53.0,1.9549113089742147
-52.900000000000006,1.995343807608635
-52.800000000000004,1.9872573078817513
-52.7,1.928630184861842
-52.6,1.9650194336328195
-52.5,1.9791708081548665
-52.400000000000006,1.936716684588725
-52.300000000000004,1.9933221826769139
-52.2,1.999387057472077
-52.1,2.1449440525559895
-52.0,2.102489928989849
-51.900000000000006,2.0762088048774756
-51.800000000000004,2.12472780323878
-51.7,2.003430307335518
-51.6,1.9569329339059358
-51.5,2.0903601793995223
-51.400000000000006,2.0721655550140325
-51.300000000000004,2.1146196785801736
-51.2,2.1671819268049197
-51.1,2.1328143029656634
-51.0,1.958954558837657
-50.900000000000006,2.1267494281705
-50.800000000000004,2.0499276807651015
-50.7,2.009495182130682
-50.6,2.013538431994124
-50.5,1.954911308974215
-50.400000000000006,2.001408682403798
-50.300000000000004,2.0640790552871486
-50.2,2.078230429809196
-50.1,2.0661006802188697
-50.0,2.033754681311334
-49.900000000000006,1.9852356829500297
-49.800000000000004,1.9589545588376562
-49.7,2.195484675849015
-49.6,2.1590954270780363
-49.5,1.9609761837693773
-49.400000000000006,2.072165555014033
-49.300000000000004,2.076208804877475
-49.2,2.110576428716732
-49.1,2.100468304058127
-49.0,2.1206845533753382
-48.900000000000006,2.1469656774877097
-48.800000000000004,2.0984466791264054
-48.7,2.1995279257124563
-48.6,2.0923818043312434
-48.5,2.1590954270780363
-48.400000000000006,2.163138676941478
-48.300000000000004,2.1227061783070584
-48.2,2.217722550097945
-48.1,2.2318739246199923
-48.0,2.2298522996882717
-47.900000000000006,2.1853765511904095
-47.800000000000004,2.215700925166225
-47.7,2.2945442975033434
-47.6,2.2278306747565506
-47.5,2.3026307972302273
-47.400000000000006,2.2035711755758984
-47.300000000000004,2.292522672571623
-47.2,2.3855174194307884
-47.1,2.2076144254393406
-47.0,2.155052177214594
-46.900000000000006,2.30667404709367
-46.800000000000004,2.3551930454549743
-46.7,2.205592800507619
-46.6,2.3814741695673476
-46.5,2.2662415484592495
-46.400000000000006,2.322847046547438
-46.300000000000004,2.3471065457280904
-46.2,2.4138201684748832
-46.1,2.229852299688271
-46.0,2.2601766736640867
-45.900000000000006,2.300609172298507
-45.800000000000004,2.3531714205232523
-45.7,2.450209417245862
-45.6,2.2905010476399017
-45.5,2.502771665470607
-45.400000000000006,2.4744689164265132
-45.300000000000004,2.5432041641050276
-45.2,2.4178634183383263
-45.1,2.5492690389001913
-45.0,2.642263785759356
-44.900000000000006,2.454252667109303
-44.800000000000004,2.622047536442147
-44.7,2.698869283847545
-44.6,2.6220475364421474
-44.5,2.795907280570155
-44.400000000000006,2.917204776473414
-44.300000000000004,2.86868577811211
-44.2,2.8909236523610407
-44.1,3.0486103970352794
-44.0,3.1597997682799344
-43.900000000000006,3.163843018143377
-43.800000000000004,3.321529762817617
-43.7,3.4003731351547346
-43.6,3.3377027622713835
-43.5,3.584341003941347
-43.400000000000006,3.5924275036682305
-43.300000000000004,3.5135841313311107
-43.2,3.764265622864517
-43.1,3.8188494960209836
-43.0,3.8188494960209836
-42.900000000000006,3.9906876152172717
-42.800000000000004,4.316169229224353
-42.7,4.477899223762032
-42.6,4.609304844323898
-42.5,4.57291559555292
-42.400000000000006,4.857964710925582
-42.300000000000004,5.082365078346615
-42.2,5.092473203005218
-42.1,5.090451578073499
-42.0,5.300700570972482
-41.900000000000006,5.417954817012302
-41.800000000000004,5.508927938939743
-41.7,5.678744433204312
-41.6,5.933469174601159
-41.5,5.866755551854363
-41.400000000000006,6.121480293251214
-41.300000000000004,6.358010410262569
-41.2,6.2124534151786595
-41.1,6.442918657394855
-41.0,6.641037900703513
-40.900000000000006,6.792659770582588
-40.800000000000004,6.829049019353562
-40.7,7.1909198821316265
-40.6,7.168682007882693
-40.5,7.3829742506451215
-40.400000000000006,7.488098747094616
-40.300000000000004,7.465860872845685
-40.2,7.722607239174253
-40.1,7.81560198603342
-40.0,7.726650489037694
-39.900000000000006,8.298770344714736
-39.800000000000004,8.015742854273798
-39.7,7.967223855912491
-39.6,8.278554095397524
-39.5,8.124910600586732
-39.400000000000006,8.3432460932126
-39.300000000000004,8.282597345260974
-39.2,8.474651713774465
-39.1,8.135018725245338
-39.0,8.38772184171046
-38.900000000000006,8.175451223879755
-38.800000000000004,8.240143221694828
-38.7,8.04808885318133
-38.6,7.940942731800119
-38.5,7.973288730707654
-38.400000000000006,7.805493861374811
