X Data,Y Data,Standard Deviation
1.09,8.721311475409836,3.478887835949043
1.1,8.39344262295082,3.2405154848208353
1.11,8.557377049180328,3.144209302276558
1.12,8.688524590163935,3.4996064584677833
1.13,8.59016393442623,3.96036531342103
1.14,8.59016393442623,3.4753325076457466
1.15,8.655737704918034,3.425484270665732
1.16,7.901639344262295,3.1242306228384513
1.17,9.01639344262295,3.0163043465102573
1.18,8.557377049180328,3.532168748934381
1.19,8.229508196721312,3.3991003757887044
1.2,8.62295081967213,3.6581995680318626
1.21,8.360655737704919,3.68885244444574
1.22,8.360655737704919,3.234206451865241
1.23,8.327868852459016,3.35701522128141
1.24,8.262295081967213,3.2080924281698513
1.25,8.62295081967213,3.3050578945165068
1.26,8.19672131147541,3.6431821441491863
1.27,8.295081967213115,3.291042299866546
1.28,8.885245901639344,3.4692955804857974
1.29,8.655737704918034,3.2385244864342275
1.3,8.78688524590164,3.2040688992937807
1.31,8.62295081967213,3.234871140039934
1.32,8.229508196721312,3.3111507712969948
1.33,7.901639344262295,3.262830502235886
1.34,8.327868852459016,3.439030131460817
1.35,8.426229508196721,3.3897580376604113
1.36,9.147540983606557,3.6116208866170063
1.37,8.754098360655737,3.6559214832876985
1.38,8.327868852459016,3.5284386157006526
1.39,9.475409836065573,3.9488805526274975
1.4,8.885245901639344,3.4408270100809886
1.41,9.245901639344263,3.3810258299007905
1.42,9.01639344262295,3.1335927281933924
1.43,9.049180327868852,3.35557392666559
1.44,8.655737704918034,3.233458514344691
1.45,9.147540983606557,2.9131475038981263
1.46,8.360655737704919,2.775967040984279
1.47,9.40983606557377,3.1172552511776055
1.48,8.62295081967213,3.6085687386890095
1.49,9.442622950819672,2.8140431805088464
1.5,9.049180327868852,3.659374798828556
1.51,9.081967213114755,3.184465788728269
1.52,8.688524590163935,3.5691803881056425
1.53,8.754098360655737,3.181172779435324
1.54,9.311475409836065,3.3949865815257043
1.55,9.081967213114755,3.5496251566923767
1.56,8.557377049180328,3.24681225842217
1.57,8.819672131147541,3.3899958736921136
1.58,9.01639344262295,3.690891772283644
1.59,9.672131147540984,3.8441836476977205
1.6,8.688524590163935,3.452445004875589
1.61,8.62295081967213,3.260111304678534
1.62,8.98360655737705,3.4331642111819534
1.63,8.59016393442623,3.1382204897008057
1.64,8.688524590163935,3.4238363278952155
1.65,8.295081967213115,3.413302147577683
1.66,9.01639344262295,2.939230429437959
1.67,8.721311475409836,3.2649713052788916
1.68,8.819672131147541,3.385156589938441
1.69,8.918032786885245,3.3646916988682953
